Date,Title,Location,Link,Details,Event
2025/11/01,Beyond multivariate applications: Quarto for reproducible interactive documents,South Africa,https://github.com/MuViSU/SASA2025_MDAG,Workshop,MDAG-SASA
2025/09/01,AI Coffee Talks,Online,,Webinar,StatSNetSA
2025/05/01, Visualising Group Separation in High Dimensions: Canonical Variate Analysis Biplots via the Generalised Singular Value Decomposition,Australia,,Seminar,NUMBATS
2025/04/01,"Two Perspectives, One Vision",Online,,Webinar,StatSNetSA
2024/11/01,User-friendly biplots in R with biplotEZ,South Africa,,Workshop,MDAG-SASA
2024/03/01,A Canonical Variate Analysis Biplot based on the Generalised Singular Value Decomposition,South Africa,,Seminar,School of Statistics and Actuarial Science 
2023/08/01,User-friendly biplots in R with biplotEZ,South Africa,,Workshop,StatCon
2023/07/01,Postgraduate Research Opportunities in Statistics: Multivariate Data Visualisation,Online,,Webinar,NGA-MaSS
2021/11/01,Aspects of multidimensional visualisations,Online,,Workshop,MDAG-SASA
2018/09/01,Biplots based on Principal Surfaces ,South Africa,,Seminar,School of Statistics and Actuarial Science 